2,37,5
71,24,9
6,22,1
59,1,2
64,13,7
11,39,8
11,40,9
12,1,3
74,18,1
74,16,1
62,5,2
34,19,1
38,6,9
52,10,2
78,19,8
89,8,3
43,22,4
88,36,10
89,4,3
66,4,9
70,30,1
18,26,4
37,39,7
56,37,7
64,21,1
57,6,4
70,24,6
65,35,7
5,35,8
8,20,6
57,18,3
7,27,2
47,23,3
94,28,2
51,30,10
84,33,2
73,19,10
50,29,3
48,23,10
65,3,6
59,20,8
58,15,1
89,3,3
65,24,8
9,22,8
43,20,8
15,7,10
65,38,7
23,16,2
48,11,3
5,10,10
85,6,3
38,17,3
79,19,6
19,32,2
67,15,10
45,35,8
47,37,1
81,14,3
63,21,6
37,18,3
69,40,5
50,11,8
29,24,10
44,16,7
41,23,10
5,36,3
45,23,1
42,3,6
27,7,9
69,16,6
50,9,7
21,35,2
87,23,2
86,8,1
13,38,9
20,17,1
68,35,1
31,22,7
46,14,4
96,3,8
94,18,10
55,25,3
94,16,10
89,32,3
83,11,4
74,1,5
29,13,1
52,2,9
70,15,5
39,33,7
92,34,10
16,36,4
78,28,5
91,18,9
53,39,8
87,20,5
17,26,3
56,17,10
55,9,8
92,20,3
8,3,5
58,14,7
7,6,1
33,15,8
32,28,4
98,20,7
48,34,7
12,5,3
19,28,4
6,20,6
46,23,1
9,32,4
10,39,7
58,23,2
71,15,6
99,7,7
34,40,8
64,31,5
18,24,9
85,37,1
80,40,8
91,27,3
70,13,8
58,36,9
22,35,3
13,23,4
63,37,6
62,9,1
10,2,10
47,13,4
19,31,4
19,10,9
88,37,10
84,32,8
14,26,2
8,11,7
92,35,4
76,32,9
29,35,6
14,37,9
3,18,4
50,4,5
81,34,2
52,5,2
28,8,9
65,23,4
77,22,4
70,7,7
79,25,5
13,27,2
82,16,6
75,30,2
63,26,6
32,32,10
21,7,2
89,17,1
59,25,7
37,13,4
92,1,2
99,38,6
55,6,6
52,3,6
37,3,9
86,2,6
68,40,9
70,28,8
54,31,4
54,4,7
29,10,7
53,13,3
35,18,6
29,31,9
81,18,6
35,37,8
80,31,2
62,30,5
79,10,1
39,4,5
44,11,2
86,1,9
82,28,8
91,28,8
41,6,10
28,13,7
49,13,3
83,18,3
62,26,9
89,34,6
5,38,5
92,10,8
29,11,9
59,26,1
74,29,1
57,20,8
67,35,10
84,40,3
43,9,3
90,23,5
37,15,6
61,2,5
46,24,6
55,2,8
38,39,2
66,37,2
13,6,6
81,2,2
1,27,7
25,31,3
1,23,7
85,10,8
91,31,7
100,28,3
72,14,9
6,37,7
11,32,5
21,25,9
25,11,1
26,37,5
89,23,1
80,9,2
68,30,3
86,16,1
6,36,7
45,7,2
17,3,7
1,36,1
88,33,1
45,34,8
42,33,8
85,12,6
44,36,5
22,30,2
79,13,10
34,13,8
59,31,6
99,37,2
80,5,6
15,24,8
2,29,4
77,38,6
18,37,6
86,10,5
7,3,3
36,31,4
35,15,2
2,26,8
98,37,3
89,11,10
13,17,6
53,25,2
14,20,9
34,18,3
10,30,5
45,21,9
88,10,10
10,1,8
96,22,2
68,36,1
15,1,5
29,25,9
15,10,8
5,6,5
93,25,7
12,23,7
95,24,4
19,6,3
79,38,3
54,14,5
47,12,6
75,22,5
10,32,4
37,12,3
46,5,4
6,17,7
53,38,8
47,18,10
64,23,3
14,8,4
96,30,5
86,13,7
87,25,9
61,29,7
60,9,5
78,27,4
62,8,2
15,21,2
91,35,7
25,34,4
41,35,3
5,14,3
40,25,5
16,17,9
61,35,1
45,39,1
62,11,10
41,4,1
36,7,8
42,9,4
70,27,6
67,24,6
88,39,2
66,18,4
13,10,5
78,21,4
44,14,5
67,28,10
18,9,2
25,6,10
55,21,2
65,37,3
86,24,1
90,25,8
22,3,1
67,38,4
48,30,2
20,23,6
64,36,4
49,40,7
79,37,4
57,21,7
75,28,2
25,40,2
40,5,2
7,40,5
60,28,10
3,40,6
35,34,10
34,14,9
46,33,4
48,16,2
14,12,3
76,1,3
5,31,8
29,29,2
58,29,8
67,12,10
69,38,1
44,20,3
35,13,7
91,40,5
32,22,10
75,19,3
60,32,9
62,6,4
7,22,10
66,29,5
96,1,5
38,27,10
56,27,2
61,14,1
12,10,9
13,34,1
21,8,9
21,36,7
11,5,6
36,11,10
11,14,9
33,33,7
73,31,8
35,10,3
73,17,9
53,31,10
13,31,9
40,29,6
3,29,6
42,2,2
95,16,4
87,38,5
46,30,6
24,35,6
12,33,10
55,14,8
2,31,7
49,26,10
29,30,4
32,4,7
48,39,7
21,19,3
74,35,5
43,18,6
43,24,10
56,33,9
27,5,8
97,14,1
64,25,7
7,2,2
11,13,8
41,27,3
66,20,4
88,16,5
63,19,4
76,36,6
23,38,10
72,40,7
64,34,10
100,11,5
74,8,7
52,31,5
73,16,3
